user_id,meeting_response_id,issue,priority,resolves_flag,recognize_performance_flag,teacher_support_flag,leader_support_flag,advance_equality_flag,others_flag
56,98,Everybody watch wish.,True,False,True,True,True,True,True
31,117,Kid inside population person color indeed already.,False,True,True,True,True,False,True
22,179,Focus prevent indeed world lawyer economy difficult.,True,True,False,False,True,True,False
86,103,Point himself water audience woman mean dinner.,True,True,False,False,False,True,False
79,207,Today practice argue piece kind she especially.,True,True,False,True,False,True,False
88,8,Mother window occur situation him.,False,True,False,False,False,True,True
74,55,Energy such age point strategy.,True,True,False,True,True,False,False
99,64,Federal sister everyone report mission same.,True,False,True,False,False,False,False
38,144,Might born challenge although best food.,True,True,True,False,False,True,False
87,68,Trouble fight where west game stand.,True,False,False,True,False,False,False
48,35,Old avoid mission see.,False,False,False,False,True,False,True
57,129,Way such my any.,False,False,True,False,False,False,True
75,197,Look trial fly.,False,True,True,True,True,True,False
88,95,Against last reason entire theory onto.,False,True,True,True,False,False,True
42,72,Financial happen compare catch teach notice impact without.,False,True,True,True,True,True,True
12,22,Road leg military woman.,True,True,False,False,False,True,True
87,8,Require strategy yeah chance federal.,False,False,False,True,True,False,True
27,32,Eye against service past evening.,False,False,True,False,False,True,True
30,177,Movie in ask like research.,False,True,True,False,True,False,True
19,160,Along big dinner state.,True,True,False,False,True,False,False
98,146,Yes development upon talk.,False,False,True,True,False,True,True
69,182,Economy environment push because fight condition.,True,False,False,True,False,True,False
85,49,Positive enter seven young south forward.,True,False,False,False,False,False,False
99,215,Almost race yourself behind land.,False,True,False,True,False,False,True
1,11,Bring find in while customer.,False,False,False,True,False,True,False
94,34,Huge save time understand series which.,False,True,True,False,True,False,True
87,194,Mother throw responsibility character computer hour.,False,True,True,True,False,False,True
82,4,Late store try organization.,False,False,True,True,False,True,True
62,174,According letter attack bring.,True,False,True,True,False,True,False
88,214,War during west.,False,False,False,False,False,True,True
77,85,Field often case but next four know several.,True,False,False,True,False,False,True
9,53,Size stock tell cold increase.,False,False,False,True,True,False,True
93,162,Management rich specific.,False,False,True,True,True,False,True
76,29,Dream money structure itself piece land.,True,True,True,True,True,True,True
58,143,Him ago beat everybody key everyone American continue.,False,True,False,True,False,True,True
85,106,Ready response not water section she.,True,True,True,True,False,False,False
58,178,Buy believe sister meeting.,False,True,False,False,False,True,False
55,102,Become wrong month church economy.,True,False,False,True,False,True,True
81,215,Blue present relationship letter soon need PM.,False,True,False,False,False,False,True
27,123,Him mission surface.,True,True,True,False,True,True,False
77,198,Activity bag sort stuff interest prove month.,False,True,False,False,True,True,True
9,131,Organization person above.,True,True,True,True,False,True,False
33,156,Mr put part analysis.,False,False,False,False,False,True,True
2,202,Understand cost against coach issue establish picture forward.,False,False,False,True,False,False,False
55,154,International Congress above safe.,False,False,False,True,True,True,True
96,67,Yes week interview risk its.,True,False,True,True,False,True,False
78,18,Let population become letter above increase foreign hotel.,False,True,True,False,False,False,False
86,33,Strong teacher upon live.,False,True,True,True,False,True,True
35,166,Experience page suffer newspaper stage amount.,True,False,True,False,False,True,False
13,4,Sell official admit suffer art six message.,True,True,False,True,False,False,True
76,195,Tonight town who finally hold floor someone short.,True,True,True,False,True,True,False
93,181,Personal want also his agree no.,True,True,False,False,True,True,True
6,25,State old suddenly already beyond line course.,True,True,False,False,False,False,True
93,9,Federal suggest sound election.,True,False,False,True,False,False,False
16,207,Republican control fear class though participant.,False,False,False,False,True,True,True
14,81,Sell election this.,False,False,True,False,False,False,True
49,151,Pull beyond dog purpose up media.,True,True,False,True,True,False,False
90,164,House employee mission most toward.,False,True,True,True,True,True,False
64,54,Young guy leave foreign.,False,False,False,True,True,True,False
85,201,Article stay traditional better.,False,False,True,True,False,False,True
57,124,Course modern meet finally.,True,True,True,True,True,True,True
24,82,Fall kid anyone energy former half.,True,False,True,False,False,True,False
95,118,Above situation suggest best.,True,False,False,True,True,False,False
31,7,Address case difficult major left wall say human.,False,True,True,True,True,True,True
2,167,Deal like discuss station suggest society staff left.,True,False,True,False,False,True,True
33,213,Tough above situation direction.,False,False,True,False,True,False,False
97,189,Cup ago carry avoid improve.,True,False,False,False,False,False,False
3,126,Accept show parent way age site.,True,False,False,False,False,True,True
83,40,City good idea physical.,False,False,False,True,True,False,True
70,61,Official big go sound.,True,True,False,True,True,True,True
93,3,Provide middle arm where science place.,False,False,False,False,False,False,False
15,41,Tell he pick clear eat benefit economic.,False,False,True,True,False,False,False
42,144,Necessary pretty sing course party suffer.,False,False,False,True,True,False,True
53,79,Any and join expert color lay doctor.,False,False,False,True,True,False,True
94,100,Whose dream those president word whether.,True,True,True,False,False,True,False
85,137,Middle road your study.,False,False,False,False,False,True,True
9,147,Century really your offer forget.,True,False,True,False,False,False,True
42,62,Feel father hotel nice everybody rule.,True,True,True,False,False,True,True
38,92,Woman over since hand over control.,True,True,False,True,False,False,True
84,52,Man thing president.,False,False,True,False,True,False,False
16,199,Cost analysis role professor occur.,True,True,False,False,False,False,False
89,203,They teach page.,True,False,False,True,True,False,False
20,119,Off do night democratic big interview need claim.,True,True,False,True,False,False,False
90,167,Line control poor finish financial.,True,False,True,True,False,False,True
4,112,Possible if individual upon.,True,False,False,False,True,True,False
12,143,Cover indicate board collection white.,False,False,True,False,False,False,False
98,199,Follow smile stay without majority assume activity.,False,True,False,False,False,False,True
4,21,Will she into painting.,False,False,False,False,True,True,True
3,57,Reach must class summer someone growth.,False,True,False,True,False,True,True
73,116,General represent sign floor health six respond.,True,False,True,False,True,True,True
75,48,Defense Congress represent value art still theory.,True,False,False,False,False,False,False
43,201,Three suffer open again mean discussion.,True,True,False,True,False,False,True
6,33,Yes music particularly example evidence animal.,True,True,False,True,False,False,True
41,109,Enough business realize.,True,True,False,False,True,False,False
88,161,Say item imagine look exist.,False,False,False,False,False,True,True
25,205,Wind think whole boy.,False,False,False,True,True,False,True
22,79,Middle sing establish sing.,False,True,True,True,False,True,False
39,64,Lot perhaps feeling.,False,True,True,True,True,False,False
20,113,Hotel positive skin commercial heart argue gas.,False,False,True,False,False,True,True
91,38,Very feeling some hope year Congress win.,False,True,False,True,False,False,False
84,198,Mission kitchen which simple.,False,True,False,True,False,False,False
49,209,Hit read of especially summer scientist.,True,True,True,True,False,True,True
75,53,Attention Mr herself investment center all standard.,False,False,False,True,False,True,True
96,4,Score least perhaps forward rest.,True,True,False,True,True,False,True
44,208,Tree effort rock at tax.,False,True,False,True,True,True,True
57,112,Watch be run.,False,False,True,True,False,False,True
17,30,Bring story successful catch.,True,True,True,False,False,False,False
23,87,Son marriage miss gun push whatever provide.,False,False,False,True,False,False,True
100,45,Serve stop player all natural three school history.,True,False,False,True,False,True,True
55,119,Cause culture animal.,False,False,True,True,False,False,True
89,10,Character place former actually.,True,True,False,True,False,False,True
68,104,Goal phone probably always firm.,False,False,False,False,True,False,False
79,51,Before strategy make president box reflect man notice.,False,False,False,True,False,True,True
23,87,Part return quite civil able local.,True,False,False,False,True,False,True
26,155,Measure each near somebody world.,False,False,False,False,True,True,False
95,142,Have detail woman beat keep far new.,False,False,True,False,True,False,True
26,97,Order require first owner.,False,False,True,False,True,False,True
51,79,Important can modern have happen paper yard.,False,True,False,False,True,True,True
88,97,Crime month magazine goal.,True,True,True,True,True,True,False
29,126,Up exactly who field care commercial hair.,True,True,True,False,True,True,False
26,126,Behavior degree major note road.,True,False,False,False,False,True,True
32,206,Guess teacher member always seat fast spring.,True,True,True,False,False,False,False
13,108,Cold program sort baby one letter.,True,True,True,False,True,True,True
24,74,There job able country together.,True,False,False,False,False,True,True
18,174,Television message difficult sign.,False,True,False,True,True,False,True
51,19,Understand western benefit soon school toward impact.,False,False,False,True,False,False,True
34,147,See surface tell medical so street.,True,False,True,False,False,False,True
50,72,Under experience wide determine summer whatever late miss.,False,False,False,True,True,False,True
69,141,Line doctor under.,False,True,False,False,False,True,False
8,78,Expert many to learn per study.,True,False,False,False,False,False,True
97,125,Sort research listen region better write.,False,True,False,True,True,False,False
82,177,Market everything level right.,True,True,True,False,True,False,True
13,149,Campaign body management able today her phone.,False,True,False,True,False,False,False
47,148,Manage mean chair serve city blood account.,True,True,True,True,False,False,False
66,26,Southern fine attention city anyone measure practice.,False,True,True,False,True,False,False
68,72,Know table hot action.,True,False,True,True,False,False,True
7,169,Minute company main human.,True,True,False,True,False,False,False
73,33,East open knowledge world enough really sell.,False,False,True,False,True,False,False
51,125,Think step finally customer particular hot show.,False,True,True,True,True,True,False
49,20,Box manager summer rate expert respond bed.,False,True,True,False,True,False,False
32,131,Up voice yes.,False,False,True,True,True,False,False
28,56,Minute source follow budget ago.,False,True,True,False,False,True,False
94,136,Democratic support building.,True,True,True,False,True,True,True
49,158,Bar management visit attack finish population.,False,False,True,False,True,False,True
73,13,Yeah between miss.,True,False,True,True,False,False,False
77,173,Southern page hotel finish last field general that.,True,False,True,False,False,True,False
96,197,Consumer simply nature.,False,True,False,False,False,True,True
91,112,Spring consider spring state election process study forward.,True,True,True,True,True,False,True
92,131,Prevent network all three skin prove.,False,True,False,True,False,True,False
43,32,Music know scene rock water fly easy.,False,False,False,False,True,False,True
71,58,Also debate poor.,True,True,False,False,False,False,False
72,79,Despite system level just police catch contain.,False,False,False,True,False,True,True
87,78,Wall officer notice child ago.,False,False,False,True,True,False,True
26,21,Hour society alone nearly east test will.,False,False,False,False,True,False,False
98,144,Young evening final address shake brother.,True,False,False,False,False,True,False
43,184,Place eat admit job final.,True,False,False,False,False,True,False
47,199,Quality bank show account ask wish authority trial.,False,True,False,True,False,False,False
83,52,Arrive realize second investment station.,False,True,False,True,True,True,False
33,50,Face sell few professional question start.,True,False,True,True,True,False,True
5,178,Employee network people free college form space.,True,True,True,False,False,False,True
65,215,Citizen suddenly half fill.,True,False,True,True,True,True,False
82,205,Republican there along space safe join sing.,True,False,False,True,False,True,False
2,45,Series anything action.,False,True,False,False,True,True,False
5,4,Section choice senior require space.,True,True,False,False,False,False,False
54,68,Family allow system head strategy political.,False,True,True,True,False,True,False
29,44,His school staff believe culture standard.,True,False,False,False,True,False,False
17,38,Imagine environmental participant.,True,True,False,True,True,True,False
5,149,Goal cell town look memory guy who.,True,True,True,True,True,True,False
50,189,Poor country concern several hair white.,True,True,False,False,True,False,False
89,104,Above paper common seat only team spend.,False,False,True,False,False,True,False
47,71,Side go specific style performance watch.,True,True,False,True,True,True,False
14,46,Scientist language later rest Mrs why better message.,True,True,False,False,True,False,True
73,162,Interesting simply executive bank.,False,False,True,True,False,True,True
5,19,Expert paper degree husband bank director economic red.,False,False,False,False,False,True,False
79,48,Future choose around source close window throughout.,False,False,False,True,True,False,True
5,21,Country measure prepare charge market debate.,False,True,True,False,True,False,True
24,110,Try reflect finally approach speech point.,False,True,False,True,False,False,False
56,19,Paper instead by side practice upon network.,True,True,False,False,True,False,False
11,135,Event consider piece do threat tough necessary.,True,True,False,True,True,True,True
79,157,Scene common center individual cause.,True,True,False,True,False,False,True
6,147,Against manager analysis high top hit.,True,False,False,False,True,False,True
17,215,Question energy step with.,True,False,True,False,False,False,True
51,79,Notice officer decision.,True,True,True,False,True,False,True
18,194,Brother during nice.,False,True,True,False,True,True,False
90,91,Six subject kind drug everybody hair attack.,False,False,False,False,False,True,True
43,45,General score with development.,False,False,True,True,False,True,False
99,81,Color way poor customer.,False,False,False,True,True,True,False
34,77,Concern main strategy serious either small.,False,True,True,False,False,False,True
14,120,Opportunity international firm safe same.,True,True,False,False,False,True,True
9,155,Blood young area compare second although when.,False,False,False,False,False,True,True
74,208,Western general owner financial yet hope.,True,False,False,True,True,False,False
8,185,Lot arm general crime.,True,True,False,False,False,False,True
69,141,Sport whether that your yet use fund.,False,True,False,False,False,False,False
90,94,End majority less maintain.,False,False,True,False,False,True,False
73,203,Candidate candidate lawyer begin as.,True,True,False,True,True,True,False
74,38,Federal cultural free offer.,True,False,True,False,True,True,False
62,109,Education a method modern against coach check.,True,False,False,False,True,False,False
82,2,Her financial professional.,False,False,False,False,False,True,True
46,53,Include land heavy.,True,False,False,False,True,False,True
11,28,Study name term with range management.,False,False,True,False,True,True,False
39,62,Staff life culture daughter mother what wait.,False,False,True,False,True,False,False
84,158,Election someone large whose difference.,False,False,True,True,True,True,False
78,189,Produce age both although.,True,False,True,True,True,True,False
49,157,Arm respond table beat.,True,True,False,False,False,True,True
5,203,Story investment treat doctor.,False,False,True,True,False,True,True
69,47,Management present talk contain star house how people.,True,False,False,True,False,False,True
22,23,Crime issue per firm improve month budget.,False,True,True,True,True,True,True
37,104,Policy everybody however.,True,False,True,False,True,False,True
39,30,Table more father.,True,True,True,False,True,False,False
6,89,Score news hear.,True,False,False,True,True,True,True
63,33,Identify force black particularly hospital knowledge.,False,True,False,True,True,True,True
94,11,Relationship reflect drop.,True,True,False,True,True,True,False
54,144,Event brother view yard weight series.,True,True,False,True,False,False,False
67,54,Once perhaps everything man standard away.,False,False,False,False,False,True,False
49,163,Produce author local movement somebody.,False,True,True,False,False,False,True
57,73,Want recently last house billion.,False,True,False,False,True,False,True
49,58,Avoid reality career left agent employee.,False,True,True,False,True,True,True
6,120,Reality fish process under.,True,True,False,False,False,True,False
45,120,Son open wear fact nothing test generation.,True,False,False,True,True,False,True
56,209,Discuss stuff trade foreign.,False,False,True,False,False,True,False
69,184,Return worry response.,False,True,False,True,False,False,False
92,38,Outside get something.,True,False,True,False,True,False,True
54,151,Deep player two start economy.,True,False,False,False,True,False,False
14,77,Lead top deep record.,False,True,False,True,False,False,False
4,187,Guess apply threat beat fast security house argue.,True,False,False,True,True,False,True
98,110,Anything city themselves.,True,False,False,False,True,False,True
16,50,Authority like sister pay charge become discuss factor.,True,False,True,True,True,False,False
56,104,Event after seek part single feeling.,True,True,True,True,False,True,False
84,199,Like hit land.,True,False,False,False,True,False,True
69,136,Often Mr some kind week.,True,False,False,True,False,True,False
91,162,Politics itself true boy.,True,True,False,False,True,True,True
65,206,Around bad old very thank everyone catch.,True,False,False,False,False,True,True
97,134,Down night choose although prove avoid long.,True,True,False,True,False,False,True
27,207,Politics wife them seem them office.,False,True,True,True,True,True,False
63,163,Third like seven.,True,False,False,True,False,False,False
1,59,Radio early technology.,False,True,True,True,False,True,True
27,144,Movie music worry moment.,False,True,False,False,True,True,False
62,124,Help civil general present forget.,True,True,True,True,True,False,False
84,158,Short candidate now usually factor.,True,False,True,True,False,True,True
58,41,Result cell myself sometimes into share.,False,False,True,True,True,True,False
17,134,Rich teach culture foreign range.,False,False,True,True,True,False,True
